"","x"
"1",0.0400678302713559
"2",0.0411496259248629
"3",0.0426376687982013
"4",0.0466259231487672
"5",0.0440849457395626
"6",0.0435404186215885
"7",0.0425766777164169
"8",0.0369457455892966
"9",0.0353360977078668
"10",0.0357084571802592
"11",0.0382711666705284
"12",0.0366672316237784
"13",0.0319327748126677
"14",0.0402038047657239
"15",0.0411604883096452
"16",0.0436513637130671
"17",0.0455604566930205
"18",0.0477574443986741
"19",0.0544812804233463
"20",0.050873158338273
"21",0.0542777025886061
"22",0.0515650041231152
"23",0.0479387924657331
"24",0.0509631559195585
"25",0.054788516412403
"26",0.0570985209741173
"27",0.0550619012950876
"28",0.054563261209005
"29",0.0561859237510691
"30",0.0624557500243489
"31",0.0634508997389804
"32",0.065939871998929
"33",0.0647652185401948
"34",0.0650080291930854
"35",0.066466743074576
"36",0.0713515823977934
"37",0.0682845839386964
"38",0.0739524385344439
"39",0.0715577155311327
"40",0.0735065182713529
"41",0.0805387351461804
"42",0.0811712571465801
"43",0.0830381023775995
"44",0.0809826454546668
"45",0.077388616665895
"46",0.0765476178940532
"47",0.0759683410754653
"48",0.073021630647218
"49",0.0745981582151913
"50",0.0710794310489091
"51",0.0729592568229902
"52",0.071331771124318
"53",0.0728817221861344
"54",0.0726207341932968
"55",0.0754888119606794
"56",0.0717997779449552
"57",0.0694118547672935
"58",0.0602730396192696
"59",0.0601204527718832
"60",0.065261788240812
"61",0.0721168504461916
"62",0.0747342026960369
"63",0.0775559165689352
"64",0.0692264416327373
"65",0.0683998800536498
"66",0.0618593295184747
"67",0.0625692354969224
"68",0.0657025065300348
"69",0.0625262430071977
"70",0.0627925298142744
"71",0.059990650640585
"72",0.0628251599999579
"73",0.0590280592161833
"74",0.0598559030633797
"75",0.0591574169480605
"76",0.0576579139074607
"77",0.0529591564835728
"78",0.0559335168410243
"79",0.0558507866570859
"80",0.056260674578841
"81",0.0611772688658223
"82",0.0694109357992811
"83",0.069957879457412
"84",0.0682972476457311
"85",0.0682854006289563
"86",0.0650682105562733
"87",0.0734489368670588
"88",0.0716370704306043
"89",0.0784697688854793
"90",0.0758354424087458
"91",0.0799643743904333
"92",0.0859479958274317
"93",0.091197761855278
"94",0.0942708779840501
"95",0.0958205613940658
"96",0.096722565370255
"97",0.0975893859474714
"98",0.100061752144765
"99",0.0942595754966801
"100",0.0944079867754325
"101",0.0912273882614769
"102",0.087438657977959
"103",0.0850704316810242
"104",0.0902707961664246
"105",0.0836162165891611
"106",0.0826653402602257
"107",0.080408290607632
"108",0.0743836651389996
"109",0.0765864140466448
"110",0.0791289443030784
"111",0.0913495751687092
"112",0.0911080112156439
"113",0.0895992918670471
"114",0.0899955765498003
"115",0.0836557912825823
"116",0.0777379681604114
"117",0.0798217982588366
"118",0.0766245712276625
"119",0.0797059635728127
"120",0.0846274746408877
"121",0.0878738001070342
"122",0.078311246720111
"123",0.0748441861831863
"124",0.0728053872721803
"125",0.0758607541622302
"126",0.0741381476929733
"127",0.0727685122688236
"128",0.0706772324780734
"129",0.066692001207566
"130",0.0651824492673515
"131",0.0680750939068945
"132",0.0770825325131689
"133",0.0803658401942377
"134",0.0731294809398074
"135",0.0732197518301748
"136",0.0731588450977027
"137",0.0712328615834143
"138",0.0674033944495946
"139",0.0631305476545113
"140",0.046525218634881
"141",0.0486022797411007
"142",0.0465571036717922
"143",0.0462285238590973
"144",0.0477917455380687
"145",0.0472354520967341
"146",0.0471573349390619
"147",0.0487134802081555
"148",0.0497040359237965
"149",0.0488191033785678
"150",0.0517471103078065
"151",0.0511440631306547
"152",0.0530218245162088
"153",0.0522163241326116
"154",0.0506545976988768
"155",0.052708810550317
"156",0.0535558656712048
"157",0.0543575268209153
"158",0.0536645473259949
"159",0.0540032746254973
"160",0.0534115650537174
"161",0.0528998739357638
"162",0.0544339530953535
"163",0.0573556816559736
"164",0.0583477516686985
"165",0.0591153673174997
"166",0.0600434318192954
"167",0.0595239748429188
"168",0.0580387159187065
"169",0.0570724316096956
"170",0.0571927969729567
"171",0.0572678442875228
"172",0.0553220153278914
"173",0.055292077206263
"174",0.0556747536332926
"175",0.0546337214194586
"176",0.0537417486940769
"177",0.0531212447377123
"178",0.0544336221688105
"179",0.0520910802563894
"180",0.0526864112376122
"181",0.052808702598667
"182",0.0549335150948054
"183",0.0546870216051618
"184",0.0515165701302375
"185",0.0515008059772061
"186",0.0518530628871727
"187",0.0526237335860358
"188",0.0562884620510083
"189",0.0582271463218786
"190",0.0594412378095906
"191",0.0594279949483505
"192",0.0593188277790192
"193",0.059969563165268
"194",0.0608771321563071
"195",0.0623985849569835
"196",0.0616268070912581
"197",0.060677322039334
"198",0.0615823626788883
"199",0.0586714040498684
"200",0.059851154536665
"201",0.0605090104555129
"202",0.0635475356498031
"203",0.0649231064433064
"204",0.0638774657376388
"205",0.064163436849894
"206",0.0652082824309394
"207",0.0648415510116246
"208",0.0660772477578745
"209",0.0649335891124772
"210",0.0633109179223794
"211",0.0637298302690112
"212",0.0648023225565862
"213",0.0679408490014696
"214",0.0685697640350933
"215",0.066334946161778
"216",0.0652362375460185
"217",0.0641569822987163
"218",0.0645347144444575
"219",0.0661955377884915
"220",0.0661402194194103
"221",0.06576674540985
"222",0.066306518610733
"223",0.06540439088912
"224",0.06332148145149
"225",0.0634061522281829
"226",0.0658401582719874
"227",0.0639895520590344
"228",0.0639471636879676
"229",0.065908122732678
"230",0.0633688127562602
"231",0.0628213390666242
"232",0.06233844620879
"233",0.0628728222567596
"234",0.0627956993356868
"235",0.061585945817081
"236",0.0627927447207247
"237",0.0628076448161348
"238",0.0637384672189
"239",0.0628305972950671
"240",0.0612131617268143
"241",0.0633837961232515
"242",0.0626945484510665
"243",0.0621589798158899
"244",0.06152219728967
"245",0.0602159431887788
"246",0.0589137637144036
